Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,Heroine and Morphine,Heroin,,,,,,,,0,,,,1,,,,0,,0,,,,,,,,,,,,,,,,,1,,,,
,,,,Illicit morphine,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,,,,,1'799,341,173,1'853,859,14'236,477,145,1'126,29,1'349,1'588,1'446,1'186,1'229,,,1'000,,,1'547,1'167,,,,677,196,440,,359,,,,
,,,Other drugs,Cannabis plants,,,,,,52,,110,4'286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
,,,,Ephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,
,,,,Methaqualone,,,,,,51,5,20,8,1,12,69,,2,66,0,,,,,,,,,,,1,,,,,,,,,,,,
,,Eswatini,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,10,,,,,,,,,
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,0,3,7,10,,4,7,1,1,4,,1,,1,284,560,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,,,,,
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,0,0,1,0,0,2,0,0,0,0,,,0,,1,1,,,,0,,,,0
,,,,Illicit morphine,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),9'135,,,,,,,12'615,1'692,1'464'497,10'331,9'539,5'112,1'962,3'523,,440,11'303,5'943,33'284,14'947,15'064,10'196,8'463,4'324,3'400,3'513,2'676,,6'206,5'935,,7'232,,13'975,,,,13'975
,,,Other drugs,Cannabis plants,,41'861,,209'559,,22'321,,123'149,70'527,,,,,2'858'400,,4'196,,,7'517,252'814,3'667,,,,,,1'091,3'078,,,,,,,2'707,,,,
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,8,,264,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,2,,1,,0,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,,,Methaqualone,,,,,,56,,77,18,165,11,26,62,43,523,7,2,4,3,0,0,0,1,0,,,,,,,,,,,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,Lesotho,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,,,,2,,1,,,,,,10,,,,,,,,,,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,,2'979,,4,,,,,,,,,,,,,,,,,,,,,
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),3'401,9'866,,11'356,36'615,14'695,27'183,15'937,7'887,13'213,24'363,1'371,4'572,23'014,4'864,,15'390,10'472,21'584,7'244,,,6'513,,16'744,6'285,1'421,,,,,,,,,,,,
,,,Other drugs,Cannabis plants,52,365,18'583,,,,,5'688,8'676,11'130,,149,,2,20,200,263,,,,,,,,,104,,,,,,,,,,,,,
,,,,Cannabis seed,0,2,,,,,,,,,,,,,0,,,,,35,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Methaqualone,,,,,,,,15,0,2,3,,1,,0,,,,,,,,1,,,,,,,,,,,,,,,,
,,Malawi,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,,,,,2,1,,0,,20,2,,,,,,,,,,,,,,
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,,,,0,1,,,,,,12,4,3,12,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,,,1'434,1'258,901,1'155,1'365,997,1'730,,1'891,1'860,4'785,4'864,39'911,8'453,10'320,5'202,27'142,312'472,8'664,7'132,8'165,23'859,16'853,271'750,27'149,25'232,1'371,,,,,,,,,
,,,Other drugs,Cannabis plants,,,,196,4'372,650,1'156,,1'214,695,,,65'183,,,104'522,2'296,1'948,6'371,9'428,61'182,51'611,4'128,1'577,4'080,1'983,28'681,,,,,,,,,,,,
,,,,Cannabis seed,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,Methaqualone,,,,,,,39,,,,,,,,0,0,0,236,0,0,,,0,,,,,,,,,,,,,,,,
,,,,Other illicit opioids,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mozambique,ATS (excluding ecstasy),Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,,,,,2,0,0,0,,15,,22,2,,6,6,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,14,50,24,10,1,,155
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,
