Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,Heroine and Morphine,Heroin,0,0,0,3,0,,0,,0,28,6,8,76,413,812,568,319,206,635,173,819,154,320,256,85,238,131,80,29,125,97,3,3,6,70,12,2,21,35
,,,,Illicit morphine,,,0,,,,,,,0,,,3,1,,6,0,1,,0,,0,2,0,,,,,0,0,,,,2,6,3,0,0,
,,,Marijuana (herb),Marijuana (herb),,32,14,24,,1,,1,2,1,,,,,104,88,3,2'140,43,66,51,131,115,179,90,162,266,347,255,293,248,209,1'113,863,529,590,494,2'170,868
,,,Opium,Opium,,,,,,,1,,,,0,,,2,0,0,,,,2,18,0,1,0,0,,,0,0,,,,76,,0,0,,7,
,,,Other drugs,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,
,,,,Cannabis oil,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,3,1
,,,,Cannabis plants,,,,,,,1,,,,3,7,15,9,,565,14,,103,620,222,,222,28,332,93,428,202,203,2'145,1'604,1'412,683,531,329,466,648,529,477
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,3,1,1,0,0,1,,0,3
,,,,Coca leaf,,,,,,,,,,,,,,,,,,,,,,1,1,,0,1,,0,0,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,0,,,,,,,0,0,0,1,0,0,2,0,0,,,,,,,,,
,,,,GBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,442,6,31,17,19,1,1
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,1,7,7,21,0,0,,0,0,2,3
,,,,LSD,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Non-specified,,,0,,,0,,,,,,,,,,6,,,,,,,,,,2,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,
,,,,Non-specified opioids,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,Other illicit opiates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,0,,
,,,,Other illicit opioids,,,,,,,,,,0,,,,,,,,,0,0,,0,0,,,,,0,0,0,60,,,,,,,,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,0,0,,0,0
,,,,Phenethylamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,0,1,,,
,,,,Piperazines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,1'755,,
,,,,Poppy plants,,,,,,0,,,,,,,,8,,,,,,,,,,,,,,,,,,,1'502,2'152,,,1'917,,
,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,23,3,60,106,27,33,15,21
,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,37,,
,,Iceland,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,5,10,0,7,3,16,15,47,32,11,80,,2,12,34,,33,10,,7
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,0,,,,0,0,0,,0,1,,0
,,,,Non-specified ATS,0,0,0,1,1,1,,0,,,,,2,,1,5,,,,,,,,,,,0,,,,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,0,0,0,0,0,0,1,0,1,,0,1,0,0,0,,,,1,1,0,2,1,6,1,13,8,8,5,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,,10,8,,19
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,0,,1,0,,,,2,6,25,0,1,2,1,1,21,1,3,,21,2,1,,11,3,,3
,,,Hashish (resin),Hashish (resin),3,5,6,20,7,9,10,15,19,0,,,21,18,,0,,,,42,27,44,58,,37,21,32,,233,26,,0,1,1,,9,6,,12
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,0,,,,,0,,,,0,,,0,,,,,,0,0,,0,,,0
,,,,Illicit morphine,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,
,,,Marijuana (herb),Marijuana (herb),0,2,189,0,0,1,0,1,0,9,1,11,,1,20,11,49,,,1,5,0,1,3,2,5,4,,7,55,,0,21,33,,52,44,,73
,,,Other drugs,Cannabis oil,0,,0,0,0,0,,1,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,0
,,,,Cannabis plants,1,0,0,,11,3,,,,1,,6,4,,11,22,,,,,,,124,193,123,92,121,,93,1'182,,757,675,714,,417,336,,540
,,,,Cannabis seed,0,,0,,,,,0,,1,,0,0,,,0,,,,,,,,55,,,,,,,,0,0,0,,0,,,4
,,,,Depressants (excluding Methaqualone),0,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,LSD,0,,,,0,0,,,,,,,0,,0,0,,,,0,0,,,0,0,0,0,0,0,0,,0,0,0,,,0,,0
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,0,,,
,,Ireland,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,16,5,18,20,68,92,22,43,61,8,57,28,,23,38,5,17,13,12,15
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,5,1,0,,1,4,1,0,2,1,0
,,,,Non-specified ATS,,,0,0,0,0,,0,,,0,0,,,1,2,5,108,55,,142,,,,,,,,,,,,,,,,32,,56
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,0,0,0,0,0,0,0,0,3,1,0,10,0,0,22,642,11,334,86,18,5,30,107,167,306,255,3'370,1'682,125,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,204,470,89,1'136,204,262,75,243
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,0,0,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,0,0,0,,12,37,,0,168,147,188,127,32,350,305,234,42,70,28,8,4,28,60,231,86,88,60,38,98
,,,Hashish (resin),Hashish (resin),34,1'647,173,486,13,7,12,99,231,43,115,1'102,450,4'200,1'461,15'529,1'933,1'247,3'179,2'515,380,567,3'315,5'349,3'226,8'639,6'982,1'650,5'276,2'276,763,1'632,1'619,649,538,271,305,596,257
,,,Heroine and Morphine,Heroin,,0,1,1,1,1,2,0,0,0,1,0,1,1,5,6,11,8,37,16,24,30,17,27,26,33,129,169,210,79,31,33,62,68,39,62,39,23,82
,,,,Illicit morphine,,,2,0,0,,,0,0,2,1,0,,,,0,0,0,0,0,,,,,,,,,,,,,0,0,,0,,,
,,,Marijuana (herb),Marijuana (herb),551,44,48,45,3,66,1,2,5,147,3,50,17,1,65,78,2,35,39,68,208,11'590,6'106,200,104,331,431,3'169,948,1'170,951,1'826,1'090,1'325,1'964,1'177,1'186,5'180,814
,,,Opium,Opium,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,Other drugs,Anabolic steroids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,
,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,21,5,10,32,2,85,59
,,,,Cannabis oil,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,113,736
,,,,Cannabis plants,210,119,136,187,84,869,36,10,20,,17,,,,,,54,75,40,,10,37,47,24,20,12,61,127,353,392,431,27,5'548,2'885,1'546,1'254,727,905,719
,,,,Depressants (excluding Methaqualone),,,1,0,0,,,,,,,0,,,,,,0,,0,1,,0,0,0,0,9,2,2,,,,,,,,,,
,,,,Ephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,21
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,22,0,11,27
,,,,LSD,,,0,0,0,0,,0,,0,0,0,0,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,,,0,4,0,0,0,0
,,,,Methaqualone,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,0,0,0,0,,0,2,2,4,5,,,0,,,34,0,,,,,,,,,,0,,,,,,,,,,
,,,,Non-specified hallucinogens,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,,,1,4,,11
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,46
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,33,,3,0
,,,,Other illicit opioids,,,,,,0,,,,,,,,,,,,,,0,,,7,,0,,,,0,,,,,,,,,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,334,30,,,,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,2,2
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,265,,,,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,24
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,0,,0,,9,6,3,12,3,5,3
,,,,Phenethylamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,Piperazines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,,,
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,142,,,,232,1'053,352,373,473,168,,50,218,,51,27,346,149,425,290,243
,,,,Poppy plants,,,,,8,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,8,10,8
,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,,0,0,,1
,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,21,7,3,,6
,,,,Tryptamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,Italy,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,5,20,1,2,1,2,6,14,4,1,6,7,17,3,40,3,19,13,11,14
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,0,0,0,,3,1,0,0,0,0,4,2,1,15,29,6,13,8,61,
,,,,Non-specified ATS,17,2,6,71,1,0,2,9,2,2,1,9,29,,6,3,39,3,3,4,,,,,,,,,,,,,,,,,,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,10,3,1,2,0,0
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,7,10,,0,7,,
,,,,"Cocaine (base, paste and salts)",53,63,105,223,73,112,129,330,617,668,802,1'291,1'368,1'101,6'657,2'557,2'147,1'640,2'144,2'998,2'360,1'809,4'040,3'521,3'584,4'371,4'623,3'948,4'110,4'072,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'836,6'342,5'321,4'942,3'866,4'047,4'705,4'099,3'624
,,,,Crack,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,1,1,1,2,8,5,4,5,6,2,1,2,6,
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,16,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,0,0,1,1,1,2,6,,25,44,6,44,2,74,136,84,108,64,104,95,40,116,19,20,23,10,25,18,30,15,14,11,27
,,,Hashish (resin),Hashish (resin),4'121,10'410,3'901,4'131,5'177,1'061,15'731,11'818,6'913,22'993,7'704,9'222,22'620,10'661,18'128,14'922,5'940,14'741,15'412,46'780,20'725,16'456,28'600,25'166,15'925,23'185,19'202,19'779,34'106,19'474,20'139,20'257,21'892,36'301,113'152,67'826,23'896,18'722,78'522
,,,Heroine and Morphine,Heroin,197,142,230,314,457,276,333,323,576,685,903,1'540,1'353,630,1'151,940,1'251,470,703,1'314,980,2'005,2'585,2'583,2'539,1'373,1'324,1'900,1'324,1'149,944,811,951,882,936,773,497,610,975
,,,,Illicit morphine,268,82,1,3,0,1,7,1,1,1,9,0,0,1,0,0,0,0,2,1,1,0,3,0,0,0,0,0,0,1,0,0,2,0,0,1,10,1,0
,,,Marijuana (herb),Marijuana (herb),780,668,964,1'016,858,375,293,1'208,256,239,182,499,584,1'360,804,474,5'722,45'012,38'787,21'249,26'073,36'623,16'398,15'303,3'491,2'469,5'446,4'540,2'382,7'483,5'338,10'909,21'496,28'822,33'442,9'314,41'649,90'098,39'181
,,,Opium,Opium,9,5,13,7,2,5,4,2,3,1,1,1,0,,0,0,1,10,3,0,29,0,1,1,4,0,1,0,4,6,6,8,8,91,107,5,1,2,
,,,Other drugs,Anabolic steroids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,22,6,,,2
,,,,Any Illicit drugs,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,0,2,0,0
,,,,Cannabis oil,6,127,24,23,14,8,3,6,0,0,1,0,1,,10,1,0,6,1,7,13,25,53,3,2,0,4,3,3,0,3,1,1,51,6,5,3,36,151
,,,,Cannabis plants,1'510,2'262,124'151,3'431,2'645,3'218,1'143,22'810,2'312,14'712,7'275,39'377,15'282,26'894,70'821,41'143,49'139,37'985,19'024,,130'647,321'941,29'763,19'159,31'100,13'823,9'500,152'426,14'815,11'918,7'199,100'823,412'262,89'487,12'166,13'802,46'472,26'564,52'318
,,,,Cannabis seed,,,,,,,,,,,,,,,,,0,221,,,,,,,,,,,,,3,8,,,,,,,
,,,,Coca leaf,,,,,,,,,,,,,,,,1,2,,0,0,0,0,2,0,,0,1,7,2,3,,0,0,0,0,1,2,1,1
,,,,Depressants (excluding Methaqualone),0,0,0,0,20,1,13,0,1,0,1,1,0,,0,0,0,0,0,0,1,,,,,0,,10,11,9,,,,,,,,,
,,,,GBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,2,3,0
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,0,4,0,3
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,35,,,,5,13,,8,11,
,,,,LSD,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,,,,Methaqualone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,Non-specified,5,5,1,10,2,2,1,9,5,0,2,3,2,,2,3,2,0,4,,,,,,,,,,,,3,94,,,,,7,23,
,,,,Non-specified hallucinogens,0,0,0,0,0,0,,,,,,,,,,,,,,,1,,,,,,,,3,3,,,,,,,,,
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,933,58,23,17,6,24,81,20
,,,,Other illicit opioids,4,0,0,2,1,5,0,0,1,1,0,1,1,,1,0,0,0,1,2,3,,6,,,0,,,1,0,16,8,1,,1,,,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,,,,
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,0,,,,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,11,35,,,,23,1,22,27,21,18
,,,,Plant-based NPS,,,,,,,,,,,,,,,993,215,61,180,260,1,29,288,377,150,373,464,2'334,1'479,239,386,663,737,331,691,560,,709,673,562
,,,,Poppy plants,,,,,3'301,11'763,,3'815,44'709,118'321,5'717,5'454,,,2'777,503,,145,599,,445,,,,,,,,,,,,716,375,168,30,1'098,293,234
,,,,Poppy seed,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,0,,0,0,0,0,0
,,,,Synthetic cannabinoids under international control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,4,2,1,
,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,0
,,Latvia,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,0,,4,,9,4,4,11,6,5,2,0,0,9,2,5,27,2,9,46
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,6,5,3,8,12,32,8,8,52,20,44,9,29,17,12,10
,,,,Non-specified ATS,,,,,,,,,,,,,,,,1,1,0,4,,1,,,1,,,,0,0,,,,,,,,,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,,,,,
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,,0,0,1,0,2,0,1,,1,1,1,1,12,5,0,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,1,1,1,8,5,34,2,5
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,2,,,1,,0,,1,,0,,3,3,6,1,28,10,0,0,1,1,0,0,3,1,29,9
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,6,,,2,1,1,3,1,0,0,,50,0,2,0,0,7,1,24,365,117,105,30,1'157,3,202,133
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,,,0,0,1,1,0,,1,1,0,0,2,2,2,1,0,1,1,1,10,0,0,0
,,,,Illicit morphine,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,0,0,,,,0,0,0,0,,0,0,
,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,5,,,23,793,22,2,231,7,194,,6,8,25,6,18,,40,61,34,74,29,27,58,45,43,41
,,,Opium,Opium,,,,,,,,,,,,,3,,,50,89,0,66,17,7,,,,0,0,0,60,,,,1,0,0,,0,1,0,
,,,Other drugs,Aminoindanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,,,Any Illicit drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,
,,,,APAAN (alpha-phenylacetoacetonitrile),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,,,
,,,,ATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,0,0,1
,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,0,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,2,1,2,4,2,
,,,,Cannabis oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,17,497,335,344,11,20,50,102,108
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,Coca leaf,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,0,0,,0,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,0,1,0,0,0,,0,,,4,0,1,1,,0,,,,,,,,,
,,,,Ephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,,,,GBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,4,547,19,26,
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,29,8,0,0,0
,,,,LSD,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
,,,,Multiple Drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,116,0,0,,,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,0,
,,,,Other illicit opiates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,6,,0,7
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,
,,,,Other NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,
,,,,Other prescription medicines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,0,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3,,,,,0,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,77,5,0,0,1,2,5,
,,,,Phenethylamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,
,,,,Piperazines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,4,,
,,,,Poppy plants,,,,,,,,,,,,,115,,,43'416,0,218,192,30,146,,,,103,64,,75,23,31,,1,12,7,9,43,,,
,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,,,183,,,,65,,,,,,,,,,,,,
,,,,Pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,0,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,0,1,,
,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,0,,
,,Liechtenstein,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,,0,,,0,,,,,
,,,,Non-specified ATS,,,,,,,,,,,,,,0,,0,0,,,,,,,0,,,,,,,,0,0,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,0,,,0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,0,,0,1,,0,,0,0,0,,,0,0,,0,,,,,,,,
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,0,,,,0,0,0,0,3,,,0,0,0,0,0,0,0,1,0,0,5,9,0,,,,,
,,,Heroine and Morphine,Heroin,,0,,,0,1,,,,,,0,,11,28,0,9,19,,14,0,0,0,3,10,4,6,0,0,0,0,,,0,,,,,
,,,Marijuana (herb),Marijuana (herb),,,,,0,0,,,,,,0,,1,,0,26,2,,,1,422,1,422,1,1,0,0,0,1,0,1,0,0,,,,,
,,,Other drugs,Any Illicit drugs,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,Cannabis oil,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,
,,,,Cannabis plants,,,,,,,,,,,,,,0,,,,,1'300,4,43,,,285,80,1,2,2,0,0,,,2,0,,,,,
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coca leaf,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
,,,,LSD,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
